                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1093,                 1.7429,                0.86385,                 1.1602,                0.63338,                0.66667,                0.65112,                0.36629,                0.64756,                0.68159,                0.67811,                0.35516,                 1.5141,                 2.7429,                 1.2996,                 1.4712,               0.001406,               0.001406,               0.001406
                     35,                 1.0824,                 1.7005,                0.83059,                 1.1549,                0.68413,                0.64677,                0.66918,                0.40102,                0.70971,                0.63184,                0.70056,                0.37966,                 1.4379,                 2.5284,                  1.257,                  1.388,               0.001388,               0.001388,               0.001388
                     36,                 1.0689,                 1.7138,                 0.7961,                 1.1368,                0.75261,                0.58706,                0.65392,                0.39339,                0.77582,                0.60199,                0.68233,                0.38605,                 1.4235,                 2.6849,                 1.3554,                 1.3794,                0.00137,                0.00137,                0.00137
                     37,                 1.0611,                 1.7134,                0.80724,                 1.1407,                0.71853,                0.63682,                0.65506,                0.40225,                0.76029,                0.65174,                0.68536,                0.38902,                 1.4147,                 2.4694,                 1.3242,                  1.379,               0.001352,               0.001352,               0.001352
                     38,                 1.0352,                  1.691,                0.79888,                 1.1275,                0.68909,                0.62853,                0.66146,                0.39812,                0.69472,                0.63403,                0.67405,                0.38045,                 1.4682,                 2.8204,                 1.3105,                 1.4135,               0.001334,               0.001334,               0.001334
                     39,                 1.0368,                  1.643,                0.78451,                 1.1278,                0.63608,                0.64179,                0.65315,                0.39544,                0.66054,                0.66798,                0.68387,                0.37651,                 1.4325,                 2.7919,                 1.2832,                  1.383,               0.001316,               0.001316,               0.001316
                     40,                 1.0495,                 1.6891,                0.78126,                 1.1316,                0.67005,                0.65672,                0.65387,                0.38118,                0.69922,                0.66667,                0.67884,                0.38115,                 1.5057,                  2.686,                  1.275,                 1.4425,               0.001298,               0.001298,               0.001298
                     41,                 1.0537,                 1.6616,                0.77803,                 1.1408,                0.68779,                0.61194,                0.67433,                 0.3858,                 0.7223,                0.63408,                0.70727,                0.38315,                 1.4746,                  2.577,                 1.2702,                 1.4096,                0.00128,                0.00128,                0.00128
                     42,                  1.042,                 1.6213,                0.77314,                 1.1294,                0.66656,                0.67164,                0.68076,                0.38639,                0.68631,                0.69154,                0.71413,                0.37127,                 1.5323,                 2.8255,                 1.2918,                 1.4687,               0.001262,               0.001262,               0.001262
                     43,                0.98259,                 1.6268,                 0.7407,                 1.1105,                0.69314,                0.61194,                0.66307,                0.39163,                0.69128,                0.61692,                0.66118,                0.37364,                 1.4744,                 2.5583,                 1.4221,                 1.4538,               0.001244,               0.001244,               0.001244
                     44,                  1.018,                 1.6136,                0.74674,                  1.121,                 0.7097,                0.64463,                0.67548,                0.41226,                0.73154,                0.66667,                0.68895,                0.40452,                 1.4379,                 2.4012,                  1.235,                 1.4306,               0.001226,               0.001226,               0.001226
                     45,                 1.0009,                 1.6134,                0.75095,                 1.1091,                0.69039,                0.64179,                0.65714,                 0.3848,                 0.7061,                0.65672,                0.66659,                0.37245,                 1.4882,                 2.6505,                 1.2942,                 1.4583,               0.001208,               0.001208,               0.001208
                     46,                 1.0126,                 1.6231,                 0.7445,                 1.1272,                0.71712,                0.63184,                0.70491,                0.40658,                0.74717,                0.64179,                0.70617,                0.40622,                 1.4407,                  2.763,                 1.2678,                 1.3909,                0.00119,                0.00119,                0.00119
                     47,                0.99607,                 1.5992,                0.73691,                 1.1216,                0.65425,                0.64179,                0.66511,                0.38551,                0.67188,                0.65672,                 0.6825,                0.37959,                 1.4687,                 2.7678,                 1.3288,                 1.4576,               0.001172,               0.001172,               0.001172
                     48,                 1.0003,                 1.6287,                0.72813,                 1.0984,                0.66703,                0.63184,                0.64021,                0.38229,                0.70797,                0.65132,                 0.6696,                 0.3586,                 1.4545,                 2.9588,                 1.3106,                 1.4069,               0.001154,               0.001154,               0.001154
                     49,                0.99998,                 1.6073,                0.72411,                 1.0998,                0.68528,                0.66169,                0.65879,                 0.4013,                0.70074,                0.67662,                0.68491,                0.39438,                 1.4362,                 2.5535,                 1.2815,                 1.3818,               0.001136,               0.001136,               0.001136
                     50,                 1.0007,                 1.5913,                0.70145,                 1.1065,                0.75046,                0.62189,                0.69568,                0.40139,                0.77825,                0.61111,                0.69941,                0.38585,                 1.4593,                 2.6133,                 1.2748,                 1.4287,               0.001118,               0.001118,               0.001118
                     51,                 1.0063,                 1.5996,                0.70792,                 1.1119,                0.67158,                0.67147,                0.68045,                0.41029,                0.73555,                 0.6504,                0.69449,                0.38923,                 1.3843,                 2.4047,                 1.1983,                 1.3768,                 0.0011,                 0.0011,                 0.0011
